mAP after 0 iterations:2.275265258914123, loss: 93016.10106466759
mAP after 4000 iterations:16.46606006794116, loss: 4.3021166222951255
mAP after 6000 iterations:46.35887449695721, loss: 3.9079731861611546
mAP after 8000 iterations:56.892766546543925, loss: 3.884825156219065
mAP after 10000 iterations:57.51757315905197, loss: 4.091795259426337
mAP after 12000 iterations:59.79947072168477, loss: 4.26839206946873
mAP after 14000 iterations:63.5922676117857, loss: 4.541196248224827
mAP after 16000 iterations:62.95085730926093, loss: 4.628521246116755
mAP after 18000 iterations:64.4665502289376, loss: 4.773897419147817
mAP after 20000 iterations:63.20430861264125, loss: 4.85705078128745
mAP after 22000 iterations:63.97785777284264, loss: 5.369450062600026
mAP after 24000 iterations:65.86013641088589, loss: 5.291282855569793
mAP after 26000 iterations:65.17879025534741, loss: 5.177186856150564
mAP after 28000 iterations:65.69509409991706, loss: 5.382306156392862
mAP after 30000 iterations:65.47584404662098, loss: 5.26306990124308
mAP after 32000 iterations:66.07791182737533, loss: 5.450881292433017
mAP after 34000 iterations:66.81161510289029, loss: 5.419224692015124
mAP after 36000 iterations:65.62268359190496, loss: 5.829465464667712
mAP after 38000 iterations:66.39481360204732, loss: 5.505993376685266
mAP after 40000 iterations:66.7772348853875, loss: 6.014130104198363
mAP after 42000 iterations:66.89637951680665, loss: 5.563109538137672
mAP after 44000 iterations:67.49507494110996, loss: 6.046445339831455
mAP after 46000 iterations:66.69462412025159, loss: 5.776456349828057
mAP after 48000 iterations:68.44398141551576, loss: 5.627000334090864
mAP after 50000 iterations:66.70478368093491, loss: 6.562045957384728
mAP after 52000 iterations:69.68785051825832, loss: 5.94925755227007
mAP after 54000 iterations:69.61649336126654, loss: 5.986303168185006
mAP after 56000 iterations:69.82541136318228, loss: 6.015496626061151
mAP after 58000 iterations:68.1761582486068, loss: 5.749005254088901
mAP after 60000 iterations:67.71960326869862, loss: 5.869923507085433
mAP after 62000 iterations:70.22747406793823, loss: 6.349373825821088
mAP after 64000 iterations:70.4595161580305, loss: 6.337283318059394
mAP after 66000 iterations:70.30040509720308, loss: 6.60417131917153
mAP after 68000 iterations:71.00233463174915, loss: 6.758862272759666
mAP after 70000 iterations:70.95572008681896, loss: 6.8626918285582414
mAP after 72000 iterations:70.94096767782123, loss: 6.820532220487601
mAP after 74000 iterations:70.58335295957241, loss: 6.8830377620898915
mAP after 76000 iterations:70.76318947732274, loss: 7.082009956863051
mAP after 78000 iterations:71.10878492035987, loss: 7.1275152278612195
mAP after 80000 iterations:70.93714464231837, loss: 7.043778383655563
mAP after 82000 iterations:71.2684953518681, loss: 7.376425206508661
mAP after 84000 iterations:71.31732800348333, loss: 7.192875232261032
mAP after 86000 iterations:71.02446529682969, loss: 7.234640234441817
mAP after 88000 iterations:71.58877275458157, loss: 7.154220499383499
mAP after 90000 iterations:71.56581534460061, loss: 7.360902537600534
mAP after 92000 iterations:71.47036579314458, loss: 7.593932614997773
mAP after 94000 iterations:71.54715855546762, loss: 7.659902880724378
mAP after 96000 iterations:71.16187399030284, loss: 7.571239518002754
mAP after 98000 iterations:71.63394917884091, loss: 7.6298629941879215
mAP after 100000 iterations:70.89415041348322, loss: 7.9075546945369
mAP after 102000 iterations:71.3030493755676, loss: 7.806761113962091
mAP after 104000 iterations:71.71850516913376, loss: 7.824449784822275
mAP after 106000 iterations:71.32110570117881, loss: 8.07869242558721
mAP after 108000 iterations:71.59606591057675, loss: 7.645638113163323
mAP after 110000 iterations:71.49119234591407, loss: 8.223759653479503
mAP after 112000 iterations:71.68473596527753, loss: 8.074760364050636
mAP after 114000 iterations:71.2518817035716, loss: 8.039854268212167
mAP after 116000 iterations:71.27882354379605, loss: 8.130929778598638
mAP after 118000 iterations:71.80724883803889, loss: 7.837513407265603
mAP after 120000 iterations:71.49882492385346, loss: 8.149728588651543
mAP after 122000 iterations:72.04335574361892, loss: 8.429792279646515
mAP after 124000 iterations:71.85375557393306, loss: 8.05112785801351
mAP after 126000 iterations:71.53805082116139, loss: 8.287361489457398
mAP after 128000 iterations:71.87157777177099, loss: 8.477891002317165
mAP after 130000 iterations:71.87935389353382, loss: 8.327358651188936
mAP after 132000 iterations:71.74485604045974, loss: 8.464201352040114
mAP after 134000 iterations:71.71937531376905, loss: 8.379574429572779
mAP after 136000 iterations:71.69833931849485, loss: 8.408278267157502
mAP after 138000 iterations:71.48922217137795, loss: 8.31462563416374
mAP after 140000 iterations:71.38132923012977, loss: 8.537965703606941
mAP after 142000 iterations:71.84601564329512, loss: 8.326057718970738
mAP after 144000 iterations:71.40347525499142, loss: 8.574872540498355
mAP after 146000 iterations:72.00862598107489, loss: 8.410312096867331
mAP after 148000 iterations:71.37735243012546, loss: 8.689270692477747
mAP after 0 iterations:4.086010616385922, loss: 2.098415895249343
mAP after 2000 iterations:2.13104252344755, loss: 0.17402088355149525
mAP after 4000 iterations:2.5467607898011275, loss: 0.17477396046087176
mAP after 6000 iterations:1.8637792528148633, loss: 0.1605194631229308
mAP after 8000 iterations:1.9999856135383804, loss: 0.15984897013773172
mAP after 10000 iterations:1.6792789387613198, loss: 0.1512639022689612
mAP after 12000 iterations:1.5754844382852546, loss: 0.14833185258015355
mAP after 14000 iterations:1.2764091364063934, loss: 0.14843159656757143
mAP after 16000 iterations:1.438119619164725, loss: 0.14894821152303503
mAP after 18000 iterations:1.2714807063424047, loss: 0.15020668500835985
mAP after 20000 iterations:1.2885867833342701, loss: 0.15108286270664717
mAP after 22000 iterations:1.615752679334392, loss: 0.1472870210119542
mAP after 24000 iterations:1.9036091383741054, loss: 0.14788035072815325
mAP after 26000 iterations:1.5420853772753995, loss: 0.15017565110261688
mAP after 28000 iterations:1.3585843643367672, loss: 0.1494544755619774
mAP after 30000 iterations:1.2166352117400328, loss: 0.1474682859775211
mAP after 32000 iterations:0.2649988470616674, loss: 0.14797203076906779
mAP after 34000 iterations:0.14169340909234956, loss: 0.149873234704354
mAP after 36000 iterations:1.4333019824933604, loss: 0.14840869720225608
mAP after 38000 iterations:0.13626849756802453, loss: 0.1487503009169431
mAP after 40000 iterations:0.13626849756802453, loss: 0.14829943180257868
mAP after 42000 iterations:0.13626849756802453, loss: 0.1476779817165224
mAP after 44000 iterations:0.13626849756802453, loss: 0.1484457577437324
mAP after 46000 iterations:0.13626849756802453, loss: 0.14887648916079113
mAP after 48000 iterations:0.13626849756802453, loss: 0.14873972702694904
mAP after 50000 iterations:0.13626849756802453, loss: 0.1480240259152702
mAP after 52000 iterations:0.13626849756802453, loss: 0.14819767425760952
mAP after 54000 iterations:0.13626849756802453, loss: 0.1493484821291953
mAP after 56000 iterations:0.13626849756802453, loss: 0.14825927365686148
mAP after 58000 iterations:0.13626849756802453, loss: 0.14846888090060464
mAP after 60000 iterations:0.13626849756802453, loss: 0.14801747636038415
mAP after 62000 iterations:0.13626849756802453, loss: 0.14856879687659713
mAP after 64000 iterations:0.13626849756802453, loss: 0.14821611033723217
mAP after 66000 iterations:0.13626849756802453, loss: 0.1486264280779817
mAP after 0 iterations:0.24624882520072866, loss: 59142.90772059316
mAP after 2000 iterations:0.25335132764842144, loss: 2.4504305008411467
mAP after 0 iterations:0.24175664969523705, loss: 1017284.841
mAP after 2000 iterations:0.26932763003889687, loss: 23.973200119018554
mAP after 4000 iterations:0.5827145351983082, loss: 22.617038238525392
mAP after 6000 iterations:1.1599832488861466, loss: 20.75996893310547
mAP after 8000 iterations:2.6702814917645346, loss: 18.989383277893065
mAP after 10000 iterations:14.30601382393822, loss: 15.544354804992675
mAP after 12000 iterations:35.879159559052496, loss: 13.308547348022461
mAP after 14000 iterations:68.9241006656737, loss: 10.436895957946778
mAP after 16000 iterations:77.85816912972085, loss: 8.740384368896484
mAP after 18000 iterations:78.7878787878788, loss: 7.34502579498291
mAP after 20000 iterations:91.66666666666667, loss: 6.3867804775238035
mAP after 22000 iterations:95.23809523809524, loss: 5.554537309646607
mAP after 24000 iterations:100.0, loss: 5.035608358383179
mAP after 26000 iterations:94.64285714285714, loss: 4.607161638259888
mAP after 28000 iterations:93.05019305019304, loss: 4.214405318260193
mAP after 30000 iterations:100.0, loss: 3.784970400810242
mAP after 32000 iterations:100.0, loss: 3.8724913439750672
mAP after 34000 iterations:100.0, loss: 3.470958415031433
mAP after 36000 iterations:100.0, loss: 3.408619326591492
mAP after 0 iterations:0.237784448067613, loss: 57645.0457586914
mAP after 2000 iterations:0.24992240777509597, loss: 2.32961411113739
mAP after 4000 iterations:0.3094799561383626, loss: 2.192922388458252
mAP after 6000 iterations:0.3602166859631126, loss: 2.144656942081451
mAP after 8000 iterations:0.33556162477540896, loss: 2.0688932570457457
mAP after 10000 iterations:0.5224477776232685, loss: 2.010840445470811
mAP after 12000 iterations:0.7339633057272837, loss: 1.9244328555107126
mAP after 14000 iterations:1.1733363034135347, loss: 1.799102503967285
mAP after 16000 iterations:1.676797735026557, loss: 1.7015881321072586
mAP after 18000 iterations:1.8679671859380802, loss: 1.572722293788196
mAP after 20000 iterations:3.9144948979229213, loss: 1.4135523991674184
mAP after 22000 iterations:10.673281075940668, loss: 1.2537530768513683
mAP after 24000 iterations:4.483965381024205, loss: 1.078547952099144
mAP after 26000 iterations:7.137271988502042, loss: 0.9975175225086508
mAP after 28000 iterations:44.700223410316596, loss: 0.901795296960324
mAP after 30000 iterations:28.578623512993957, loss: 0.8052595649525525
mAP after 32000 iterations:33.949153472289126, loss: 0.7597728095848114
mAP after 34000 iterations:26.63300788724683, loss: 0.7075824156679215
mAP after 36000 iterations:50.812381563997945, loss: 0.6700470322702082
mAP after 38000 iterations:50.41281922594876, loss: 0.6516656162329023
mAP after 40000 iterations:53.637650658417435, loss: 0.6244846554920077
mAP after 42000 iterations:53.16710952981445, loss: 0.5817786257605999
mAP after 44000 iterations:37.626676817516, loss: 0.6360967064790427
mAP after 46000 iterations:45.84127519369283, loss: 0.5363383330564947
mAP after 48000 iterations:55.33613114990039, loss: 0.5417698535986247
mAP after 50000 iterations:75.4594629822732, loss: 0.5023626083814537
mAP after 52000 iterations:51.991300132122916, loss: 0.5033076751007699
mAP after 54000 iterations:64.5427782629518, loss: 0.518099409930408
mAP after 56000 iterations:58.23484426396374, loss: 0.47195186299793407
mAP after 58000 iterations:51.954307796738334, loss: 0.46609723845683043
mAP after 60000 iterations:66.76423829311062, loss: 0.4588441498065366
mAP after 62000 iterations:63.83008587072384, loss: 0.3805382083705626
mAP after 64000 iterations:64.7464859437751, loss: 0.37073362889690326
mAP after 66000 iterations:64.84592145015105, loss: 0.3600636049638503
mAP after 68000 iterations:66.92928018836193, loss: 0.35329291259269247
mAP after 70000 iterations:67.05814490078448, loss: 0.3505173058214132
mAP after 72000 iterations:65.97550247816206, loss: 0.34686663170177495
mAP after 74000 iterations:65.34159919028339, loss: 0.3421899463256356
mAP after 76000 iterations:65.29037858422939, loss: 0.3377160670592451
mAP after 78000 iterations:67.01713076713077, loss: 0.33600890212832035
mAP after 80000 iterations:67.03649987913947, loss: 0.3294007322915132
mAP after 82000 iterations:67.0469783658144, loss: 0.3294631507715678
mAP after 84000 iterations:64.31827173053013, loss: 0.3258867660322227
mAP after 0 iterations:4.30179707330592, loss: 44987.80712978363
mAP after 2000 iterations:5.415005437533261, loss: 1.1568082958459853
mAP after 4000 iterations:7.379899465001083, loss: 0.9810840013623237
mAP after 6000 iterations:6.659374618802794, loss: 1.1817002868652342
mAP after 8000 iterations:7.5133850468116155, loss: 1.0130896344780917
mAP after 10000 iterations:8.04079092557875, loss: 1.0400533872842792
mAP after 12000 iterations:10.78925357475588, loss: 0.8501380817592142
mAP after 14000 iterations:14.058952295280717, loss: 0.8898217509686945
mAP after 16000 iterations:18.03624161388453, loss: 0.8674393872171636
mAP after 18000 iterations:24.637898147094766, loss: 0.8388716965913774
mAP after 0 iterations:5.184728735111756, loss: 121436.2896450806
mAP after 2000 iterations:5.045212166646962, loss: 1.604757048487663
mAP after 4000 iterations:4.924807443969401, loss: 1.1323357057571415
mAP after 6000 iterations:6.102614531696057, loss: 1.0487734854221342
mAP after 8000 iterations:5.938881948390485, loss: 1.031087898313999
mAP after 10000 iterations:7.79621017287094, loss: 0.8918019418418407
mAP after 12000 iterations:9.973634865241358, loss: 0.9273925693333149
mAP after 14000 iterations:10.326866485877408, loss: 0.9544136167317628
mAP after 0 iterations:4.075756967990163, loss: 130667.25043225697
mAP after 2000 iterations:5.591678813498135, loss: 1.2387906836874694
mAP after 4000 iterations:5.580216172438592, loss: 1.149382812299846
mAP after 6000 iterations:5.64293525370874, loss: 1.168052501148648
mAP after 8000 iterations:6.469139052169651, loss: 1.1650429863988612
mAP after 10000 iterations:9.016284769600388, loss: 0.9147521612084941
mAP after 12000 iterations:8.945013678063372, loss: 0.9289347851717912
mAP after 14000 iterations:12.010836281977552, loss: 0.9504761168250331
mAP after 16000 iterations:16.35635274251586, loss: 0.8967403228636139
mAP after 18000 iterations:19.215092328541054, loss: 0.8160294176987659
mAP after 20000 iterations:26.22070698891403, loss: 0.8215880647117709
mAP after 22000 iterations:35.39450150884787, loss: 0.7660402090829096
mAP after 24000 iterations:40.64602763186439, loss: 0.8812730589398631
mAP after 26000 iterations:48.49240599193267, loss: 1.0862570016288464
mAP after 28000 iterations:50.088834614607514, loss: 1.0081596683572835
mAP after 30000 iterations:53.603759684870724, loss: 1.09396583614526
mAP after 32000 iterations:56.25222110393572, loss: 1.340767243909247
mAP after 34000 iterations:60.28875788704961, loss: 1.3103616822097037
mAP after 36000 iterations:61.42161227228507, loss: 1.4070776149354607
mAP after 38000 iterations:63.00516615974141, loss: 1.4500064033876967
mAP after 40000 iterations:63.6777174588097, loss: 1.4015937072443376
mAP after 42000 iterations:62.24836153817368, loss: 1.3648723651873473
mAP after 44000 iterations:62.861797849624566, loss: 1.499931008065189
mAP after 46000 iterations:66.33785651817603, loss: 1.6517133081285857
mAP after 48000 iterations:65.04082007507557, loss: 1.634219285008716
mAP after 50000 iterations:64.88361579656134, loss: 1.7347753396602688
mAP after 52000 iterations:66.35280939247329, loss: 1.7387461035293932
mAP after 54000 iterations:65.82358338861873, loss: 1.777392891895624
mAP after 56000 iterations:66.05841829222015, loss: 1.637061365040732
mAP after 58000 iterations:69.09845097280797, loss: 1.8270263471709633
mAP after 60000 iterations:70.48523095978585, loss: 1.9113789666225613
mAP after 62000 iterations:73.2687862656201, loss: 1.8699819501437656
mAP after 64000 iterations:72.12843036326667, loss: 1.8377333410992571
mAP after 66000 iterations:73.89596605635118, loss: 1.9877606834905848
mAP after 68000 iterations:74.01376341686536, loss: 1.9187746940893526
mAP after 70000 iterations:74.90413275181338, loss: 1.926466713956685
mAP after 72000 iterations:73.71516955058922, loss: 1.9076770649418047
mAP after 74000 iterations:74.57666135340452, loss: 1.9059655438729182
mAP after 76000 iterations:74.47202883285769, loss: 1.9139635080724586
mAP after 78000 iterations:74.07925153477134, loss: 1.9834389151597138
mAP after 80000 iterations:75.57947373611832, loss: 1.9652865466029383
mAP after 82000 iterations:75.87218555754897, loss: 2.0395025341817523
mAP after 84000 iterations:76.1660872690215, loss: 2.0121932445122734
mAP after 86000 iterations:75.71776508867045, loss: 1.9680866585894954
mAP after 88000 iterations:76.32178090852572, loss: 1.9551147529682904
mAP after 90000 iterations:75.25558677977025, loss: 1.9913718558939884
mAP after 92000 iterations:75.81886564385921, loss: 1.9559634762867877
mAP after 94000 iterations:75.27044182296811, loss: 2.0113331438663113
mAP after 96000 iterations:75.40495976103092, loss: 1.9820967768485664
mAP after 98000 iterations:76.6227227827051, loss: 2.0572944633714436
mAP after 100000 iterations:76.34790561374241, loss: 1.9296267157730957
mAP after 102000 iterations:76.40809791956016, loss: 1.9773077298869828
mAP after 104000 iterations:76.75508899424209, loss: 2.022338545060843
mAP after 106000 iterations:75.82204756973087, loss: 2.075202522656225
mAP after 108000 iterations:76.1025917708453, loss: 2.0149800069710637
mAP after 110000 iterations:77.59001387713414, loss: 2.0131504436644416
mAP after 112000 iterations:77.3993185215281, loss: 2.016072654144631
mAP after 114000 iterations:77.9450493196118, loss: 2.071747919280703
mAP after 116000 iterations:78.28577524501112, loss: 2.137650307206966
mAP after 118000 iterations:76.8485700342888, loss: 1.9855375972375238
mAP after 120000 iterations:78.40885541955085, loss: 2.0426974419349193
mAP after 122000 iterations:77.8955315018471, loss: 2.132889394125798
mAP after 124000 iterations:77.89078138683244, loss: 2.097049314717843
mAP after 126000 iterations:75.8509504910664, loss: 2.045040418163954
